model,task,horizon_hours,dayperiod,n_samples,rmse,mae,mape,mean_abs_error
ARIMA,seq6,3,overnight,1323,37.325992914946156,20.119106495213458,63.231193157055685,20.119106495213458
ARIMA,seq6,4,daytime,1547,30.594024815419427,20.253605119370555,70.75517459343878,20.253605119370555
ARIMA,seq6,4,evening_peak,884,31.66257900705239,19.900277588539453,55.264909773477655,19.900277588539453
ARIMA,seq6,4,morning_peak,884,28.865168843017845,18.909505747539722,68.21290967150298,18.909505747539722
ARIMA,seq6,4,night,661,31.427051113511684,21.608077715020922,48.92692699668969,21.608077715020922
ARIMA,seq6,4,overnight,1322,40.36379148022062,23.882596362960168,77.32649208719991,23.882596362960168
ARIMA,seq6,5,daytime,1547,34.18681769750666,23.197802285639952,88.61529850043118,23.197802285639952
ARIMA,seq6,5,evening_peak,884,34.9239164268231,22.516850281150905,68.13207164267025,22.516850281150905
ARIMA,seq6,5,morning_peak,884,35.259457773327206,22.95124417545249,87.12136754288287,22.95124417545249
ARIMA,seq6,5,night,662,36.32193652480242,24.79545096197028,55.5660536738425,24.79545096197028
ARIMA,seq6,5,overnight,1321,41.02728419563289,26.223692351489223,84.56605648103385,26.223692351489223
ARIMA,seq6,6,daytime,1547,36.86219243170993,25.62183485445844,104.08533977379537,25.62183485445844
ARIMA,seq6,6,evening_peak,884,38.140945284424205,25.137044117905912,80.78107672324353,25.137044117905912
ARIMA,seq6,6,morning_peak,884,39.62601207244791,26.51168215390711,104.21159149385299,26.51168215390711
ARIMA,seq6,6,night,663,40.40345070557957,27.551061976112244,66.26281693269922,27.551061976112244
ARIMA,seq6,6,overnight,1320,41.919257855756406,28.10602964115498,90.72405834447216,28.10602964115498
LSTM,h1,1,daytime,1533,8.02993690586329,4.701371856087263,11.732980544206882,4.701371856087263
LSTM,h1,1,evening_peak,876,8.155814472860687,5.112186822717049,12.013144532282592,5.112186822717049
LSTM,h1,1,morning_peak,876,6.123061802662359,4.103955068000376,10.504016375125332,4.103955068000376
LSTM,h1,1,night,657,8.696496057432089,5.4896570681799854,12.694171915361677,5.4896570681799854
LSTM,h1,1,overnight,1310,17.49901603307076,6.586025147765647,15.340882457812603,6.586025147765647
LSTM,seq6,1,daytime,1526,23.002871499218042,14.149791813459183,28.28516125690334,14.149791813459183
LSTM,seq6,1,evening_peak,870,25.185879672967012,15.51932040631086,29.123335157809866,15.51932040631086
LSTM,seq6,1,morning_peak,872,19.821618585128316,11.890370405048404,22.806568831620552,11.890370405048404
LSTM,seq6,1,night,651,28.21240099283615,17.05424639779485,28.17367135248136,17.05424639779485
LSTM,seq6,1,overnight,1304,29.20845494383346,16.983763187940866,27.777161389690097,16.983763187940866
LSTM,seq6,2,daytime,1526,23.602312712811575,14.51251303540301,30.251922135062177,14.51251303540301
LSTM,seq6,2,evening_peak,871,26.572327600059875,16.133360915835496,30.08912527264293,16.133360915835496
LSTM,seq6,2,morning_peak,872,19.752631025658317,12.347114769143795,24.359447525157957,12.347114769143795
LSTM,seq6,2,night,651,28.896293161754272,17.869099517388644,33.49973172776803,17.869099517388644
LSTM,seq6,2,overnight,1303,32.09676849845016,18.802241170214216,34.19322551633484,18.802241170214216
LSTM,seq6,3,daytime,1526,25.533971120973423,15.829904488467296,35.66844349600218,15.829904488467296
LSTM,seq6,3,evening_peak,872,28.88666591532884,17.57628916764478,34.455827315562374,17.57628916764478
